"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"41ea9547-1e43-45ed-b63b-a7fcea5e8104","China_output008_text.txt","Mosheim","char-offset:45","PERSON","","","","","","","","","https://en.wikipedia.org/wiki/Johann_Lorenz_von_Mosheim#cite_note-1","",""
"4c42ac52-abb8-4c2c-bc08-4e60c1a8d04e","China_output008_text.txt","in the year 1625 a monument was found in digging under ground","char-offset:146","","","","","","","","","","'Il arriva qu'en l'an 1625. comme on vouoit cruser les fondemens d'une maison, dans un petit village qui est prés [sic] de la Ville de Siganfù, laquelle est la Metropolitaine du Royaume de Xensi, & la capitalle de cet Tstat; on descouvrit une pierre chargée de Characteres Chinois, qu'on sortit à mesme temps de sa fosse, pour la considerer à loisir, & pour en mesurer en reposles dimentions & la figure. On la sort du lieu où ell estoit & aprés l'avoir mesurée, on trouva qu'elle avoit neuf paulmes & demy de longeur, deux de largeur, & une d'espaisseur; aprés quoy on remarqua qu'elle portoit une Croix sur le haut, qui se termine en Piramide, laquelle estoit merveilleusement bien faite, & artificieusement travaillée; Ceux qui on t pris foin, & se sont attachés a la considerer attentifvement [sic], assurent qu'elle est recourbée à ses extremités en forme de Lis; de maniere qu'elle ressemble á celle du Sepulchre de S. Thomas l'Apostre, qui est en Meliapore, & qu'elle n'est pas beaucoup differente de celle des Chevalliers de S. Jean de Hierusalem que ces Deffenseurs de la Foy & ces Boulevars de la Chrestienté ont accoustumé de porter en partie pandue au col, & en partie cousue sur leurs habits, & leurs manteaux. Au dessous de cette Croix il y a un titre, & une Epitaphe en charactere Chinois, laquelle couvre entierement le dessus de cette pierre, comme le marque la figure qui suit, & ne laisse presque point de vuide sur cette mesme pierre, qui ne soit rempli de lettres, & de figures. Vous pouvés jugér [sic] qu'un semblable spectacle attira un nombre infini de toute sorte de personnes pour voir une chose si curieuse, & que tout ce qu'il y eût de sçavant, & de docte parmy les Chinois (qui sont naturellement curieux) s'en vint dans ce lieu pour y considerer cette merveille, & pour y admirer ce prodige <https://books.google.co.uk/books?id=gsHx76KOn4EC&printsec=frontcover&redir_esc=y#v=snippet&q=1625&f=false> La Chine Illustrée ... dAthanase Kircher, p. 8
","",""
"73c99a9e-1c8b-4866-9909-f61bdc470cd4","China_output008_text.txt","Si-ngan-su","char-offset:213","PLACE","","","","","","","UNVERIFIED","","Si-ngan-fu; https://en.wikipedia.org/wiki/Xi%27an
34.34331530310185, 108.95012634722717
","",""
"48580e8d-32e6-4dd3-9ace-07807224c794","China_output008_text.txt","Shensi","char-offset:241","PLACE","http://geo-kima.org/place/9247","Shaanxi Sheng (China)","","","","","VERIFIED","","","",""
"e107d496-955d-4cfc-85d4-f2e877edcb0d","China_output008_text.txt","Kircher","char-offset:533","PERSON","","","","","","","","Kircher|Athanasius","Athanasius Kircher (1602–80); https://en.wikipedia.org/wiki/Athanasius_Kircher","",""
"99633b83-20f2-4496-9007-cfe57fe3fae4","China_output008_text.txt","China Illustrata","char-offset:543","EVENT","","","","","","","","China Illustrata (1667)","","",""
"79d5f88f-2a84-4b06-b962-a430391bd917","China_output008_text.txt","Voltaire","char-offset:681","PERSON","","","","","","","","Voltaire","","",""
"90d6bdd2-469a-410b-8aca-cba78f9e4cb9","China_output008_text.txt","Renaudot","char-offset:733","PERSON","","","","","","","","Renaudot|Eusebius","Eusèbe Renaudot (1646-1720); https://en.wikipedia.org/wiki/Eus%C3%A8be_Renaudot
","",""
"bf7b0b6c-c5a7-4056-89ed-6cfe60b18719","China_output008_text.txt","account of India and China","char-offset:744","EVENT","","","","","","","","Ancient accounts of India and China : by two Mohammedan travellers. Who went to those parts in the 9th century","https://www.worldcat.org/title/ancient-accounts-of-india-and-china-by-two-mohammedan-travellers-who-went-to-those-parts-in-the-9th-century-translated-from-the-arabic-by-the-late-learned-eusebius-renaudot-with-notes-illustrations-and-inquiries-by-the-same-hand/oclc/228752116","",""
"a0d10b85-cd4a-4989-a7b1-941966f48788","China_output008_text.txt","our celebrated dissolution","char-offset:1462","EVENT","","","","","","","","","Disbandment of monasteries and other religious houses in Britain, 1536–41; https://en.wikipedia.org/wiki/Dissolution_of_the_monasteries
","",""
"ed984233-60c2-4093-81e6-07d81a23585e","China_output008_text.txt","Vol. ii. p. 1.","char-offset:1690","","","","","","","","","","Charles Trelawney Collins, A Summary of Mosheim's Ecclesiastical History, Ancient and Modern, 2 vols (London, 1822), I, pp. 195-6: '... now that the Saracens had become masters of the East, the prosperity of the Nestorians and Monophysites increased; while, on the contrary, the Greeks suffered every kind of persecution. Jesuiabas, the chief of the Nestorians, concluded a treaty with Mahomet, and afterwards with Omar, which he secured many advantages for his sect.' But a more appropriate point as source is on p. 184: 'Christianity spread with wonderful rapidity through the heathen world, during this century [seventh century ], chiefly owing to the labours of those Nestorians who dwelt in Persia, Syria, and India, by whom also the light of the Gospel penetrated into China, A. D. 637, when Jesuibas of Gadala was at their head.'","",""
"ceaf22b0-ab96-412e-946d-1a79b523064b","China_output009_text.txt","Ta-tsing","char-offset:212","PLACE","","","","","","","UNVERIFIED","","","",""
"e6b41b69-a9a8-49e8-b51b-8b80c1c29e49","China_output009_text.txt","Mu-hu-pa","char-offset:224","PLACE","http://sws.geonames.org/2038656","Amgalang","","48.25","118.2","","UNVERIFIED","","","",""
"a07f2655-56cd-468f-aa1e-252a59d52be4","China_output009_text.txt","Si-gnan-fu","char-offset:556","PLACE","http://sws.geonames.org/1790630","Xi’an","","34.25833","108.92861","","VERIFIED","Xi-an","","",""
"6da92d6e-c598-44de-a0dc-8d66ae15cfc6","China_output009_text.txt","St. Francis de Xavier","char-offset:611","PERSON","","","","","","","","de Xavier|Francis","Francis de Xavier (1506–1552); https://en.wikipedia.org/wiki/Francis_Xavier","",""
"99248930-730e-47a2-b471-7d7e2bc89153","China_output009_text.txt","Goa","char-offset:764","PLACE","http://sws.geonames.org/1271157","Goa","","15.35100156767114","74.04731812111713","","VERIFIED","journey_francisdexavier01","| Gan awgrymu mor ganolog oedd Goa i Francis de Xavier fel cennad yn Asia, nododd Pennant ei ymadawiad oddi yno ar genhadaeth i Japan yn 1549, a dychweliad ei gorff i'r un ddinas hanner canrif ar ôl ei farwolaeth yn 1552.
","",""
"30ceb7c8-be80-4216-b7f3-1e8fc6d5b0e6","China_output009_text.txt","Japan","char-offset:771","PLACE","http://sws.geonames.org/1861060","Japan","","37.56741004797496","137.99463874474714","","VERIFIED","journey_francisdexavier01","| Lleoliad cenhadaeth y Jeswit Francis de Xavier o 1549 ymlaen.
","",""
"aec4106a-c66d-419e-9110-5272dcd64602","China_output009_text.txt","China","char-offset:853","PLACE","http://sws.geonames.org/1814991","China","","36.56380228339525","103.83107747167409","","VERIFIED","journey_francisdexavier01","| Nod Francis de Xavier, yn dilyn cenhadaeth yn Japan, oedd cael mynediad i ymerodraeth Tsieina er mwyn cyflawni'r un gwaith. Nododd Pennant sut y'i rhwystrwyd rhag cyflawni'i fwriad pan fu farw ar Ynys Sancian (Shangchuan) yn 1552.","",""
"39fffd71-f147-4725-a637-4f32633158e9","China_output009_text.txt","isle of Sancian","char-offset:1066","PLACE","http://sws.geonames.org/1913369","Shangchuan","","21.72621","112.77129","","VERIFIED","journey_francisdexavier01","Shangchuan Island; 21.726427105895986, 112.80202852964428
| Yma y bu farw Francis de Xavier yn 1552 ac y rhoddwyd caniatâd i'w gladdu. Ailagorwyd ei arch hanner canrif yn ddiweddarach, gan ganfod y corff mewn cyflwr perffaith.","",""
"84510b8b-8da3-4bbc-8549-fc608b7af5e1","China_output009_text.txt","Du Halde","char-offset:1353","PERSON","","","","","","","","Du Halde|Jean-Baptiste","Jean-Baptiste du Halde (1674–1743); https://en.wikipedia.org/wiki/Jean-Baptiste_Du_Halde
","",""
"c9b83ccc-a866-4e71-9bf6-b7f058fd6f86","China_output009_text.txt","Goa","char-offset:1435","PLACE","http://sws.geonames.org/1271157","Goa","","15.35100156767114","74.04731812111713","","VERIFIED","journey_francisdexavier01","","",""
"56806faf-2c49-482e-97d5-c50f5a2af9c4","China_output009_text.txt","St. Xavier","char-offset:1541","PERSON","","","","","","","","de Xavier|Francis","","",""
"cfaca166-87da-4e24-8d96-a3d137f2ae08","China_output010_text.txt","China","char-offset:48","PLACE","http://sws.geonames.org/1814991","China","","36.56380228339525","103.83107747167409","","VERIFIED","","","",""
"d03d98af-2b59-4d01-b171-203e447980b6","China_output010_text.txt","Valignon","char-offset:241","PERSON","","","","","","","","","unidentified","",""
"bc16a52a-591e-4240-85e4-bfeaaba1f3ef","China_output010_text.txt","India","char-offset:299","PLACE","http://sws.geonames.org/1269750","India","","23.01035740062025","79.61702627978634","","VERIFIED","","","",""
"e6ec980e-7c9b-42ec-8ecb-30edaf0a5dd9","China_output010_text.txt","Macao","char-offset:318","PLACE","http://sws.geonames.org/1821275","Macao","","22.1750482113586","113.5539810047247","","UNVERIFIED","journey_matteoricci01","| Gweithredai Macao (Macau) fel troedle'r genhadaeth Jeswitaidd i Tsieina. Yma y glaniodd ei harweinydd Alessandro Valignano (1539–1606) yn 1578 ac y daeth eraill ar ei ôl, gan gynnwys Roger o Napoli (Michele Ruggieri) y flwyddyn ganlynol. Yr oedd dysgu Mandarin yn Macao yn allweddol i gynllun Valignano i ennill mynediad i Tsieina.","",""
"4cbfaf5b-adfd-41aa-bc8e-6c46cd574807","China_output010_text.txt","Roger","char-offset:412","PERSON","","","","","","","","","Michele Ruggieri (1543–1607), ganed yn Spinazzola, yn nhalaith Barletta-Andria-Trani, Apulia, yn ne'r Eidal, addysgwyd hyd at lefel doethurol yn y gyfraith sifil a chanonaidd cyn gweithio yn llys Philip II yn Napoli. Ymunodd â'r Jeswitiaid yn 1572 ac fe'i dewiswyd ar gyfer eu cenhadaeth yn India, lle y cyrhaeddodd ar 13 Medi 1578. Buan y meistolodd yr iaith Tamil, yna, yn 1579, fe'i galwyd i Macao i sefydlu'r genhdaeth Jeswitaidd i Tsieina. Er ei fod wedi'i anghofio yng nghysgod Matteo Ricci, yr oedd yn Tsieina gyda Ricci o'r foment y caed mynediad i'r ymerodraeth ar 10 Medi 1583 am bum mlynedd wedi hynny yn Zhaoqing, talaith Guangdong. Awgrymir gan Yu Liu, 'The True Pioneer of the Jesuit China Mission: Michele Ruggieri', History of Religions, cyf. 50, rhif 4, 362 –83, ei fod yn credu mewn addasu'r neges Gristnogol i gyd-destun diwylliannol Tsieineaidd, fel Ricci, ond bod ei ddulliau yn bur wahanol.","",""
"058a04d3-b583-4ed3-b71d-d6e88f0bfd85","China_output010_text.txt","Naples","char-offset:421","PLACE","http://geo-kima.org/place/673","Naples (Italy)","","40.85216","14.26811","","VERIFIED","journey_matteoricci01","coordinates on google maps are 40.85183367497421, 14.268572258595789 | Cysylltid Napoli ag enw un o dri Eidalwr a anfonwyd i genhadu yn Tsieina yn 1583 ar ran y Jeswitiaid: Roger o Napoli (Roger of Naples), sef Michele Ruggieri (1543–1607). Fe'i ganed yn Spinazzola, yn nhalaith Barletta-Andria-Trani, Apulia, yn ne'r Eidal, ond yn dilyn cyfnod yn gweithio yn llys Philip II yn Napoli, daethpwyd i gysylltu'i enw â'r dref honno. Treuliodd bum mlynedd yng nghwmni Matteo Ricci yn Zhaoqing, talaith Guangdong. Gw. Yu Liu, 'The True Pioneer of the Jesuit China Mission: Michele Ruggieri', History of Religions, cyf. 50, rhif 4, 362–83.","",""
"52dabd8f-4035-4de1-b895-fabd389f21b9","China_output010_text.txt","Pasio","char-offset:429","PERSON","","","","","","","","","FRANCESCO PASIO (1554-1612); https://www.redalyc.org/pdf/361/36100303.pdf","",""
"3b0b3e66-f070-455b-8fd7-70e6a3282f90","China_output010_text.txt","Bologna","char-offset:438","PLACE","http://sws.geonames.org/3181928","Felsina/Bononia|Bononia/Felsina, Bologna|Bologna","-0750/2100","44.4946274","11.3418224","settlement","VERIFIED","journey_matteoricci01","| O Bologna yr hanai Francesco Pasio (1554–1612), un o dri Jeswit a anfonwyd i genhadu yn Tsieina yn 1583.","",""
"e602ae26-8e40-4d3e-a840-a0a44eb45dbb","China_output010_text.txt","Ricci","char-offset:451","PERSON","","","","","","","","Matteo|Ricci","Matteo Ricci (1552–1610); https://www.unimc.it/en/about/unimission/ricci","",""
"c5bcae11-6e5d-450a-98e9-0da36cd796ad","China_output010_text.txt","Macerata","char-offset:460","PLACE","http://sws.geonames.org/3174380","Macerata","","43.29789","13.45293","","VERIFIED","journey_matteoricci01","| Ym Macerata y ganed y cennad Matteo Ricci (1552–1610), a gysylltir â chenhadaeth y Jeswitiaid yn Tsieina rhwng 1583 a'i farwolaeth.","",""
"6f3b586c-8600-4ce8-8852-e14e3bee8820","China_output010_text.txt","Goa","char-offset:597","PLACE","http://sws.geonames.org/1271157","Goa","","15.35100156767114","74.04731812111713","","VERIFIED","journey_matteoricci01","| Yma yn ôl Pennant y paratôdd Roger o Napoli, Francesco Pasio, a Matteo Ricci at eu cenhadaeth i Tsieina drwy feistroli Tsieinëeg. Sylwer bod tystiolaeth fwy diweddar yn dadlau mai yn Macao y dechreuodd Ricci a Roger o Napoli ar eu hastudiaethau ieithyddol, fodd bynnag. Ynghylch Goa, a'i statws canolog yn yr ymerodraeth Bortiwgeaidd yn y Dwyrain ac yng ngwaith arloesol y Jeswitiaid, gw. Gregory Naik SJ, Jesuits of the Goa Province: A Historical Overview (1542–2000)  (Cinnamon Teal Publishing, 2019).","",""
"fa132243-8574-456b-8bd6-9624d44ccf28","China_output010_text.txt","Ricci","char-offset:706","PERSON","","","","","","","","Ricci","","",""
"4eb9540f-c209-478a-849c-5aa2614b7fe6","China_output010_text.txt","court","char-offset:733","PLACE","http://sws.geonames.org/2038349","Beijing","","40.17382196110366","116.40643185387688","","VERIFIED","journey_matteoricci01","arrival of Ricci at court; this would have been in Beijing during the Ming dynasty; https://en.wikipedia.org/wiki/Ming_dynasty| Adroddodd Pennant sut y llwyddodd Matteo Ricci i gael mynediad i lys yr ymerawdwr, wedi sawl ymgais aflwyddiannus. Yn Beijing y byddai'r llys yn ystod y cyfnod dan sylw, cyfnod brenhinlin y Ming.","",""
"4ae13726-e588-4e2c-b05c-b386ab6fdb5c","China_output010_text.txt","Pasio","char-offset:1084","PERSON","","","","","","","","","FRANCESCO PASIO (1554-1612); https://www.redalyc.org/pdf/361/36100303.pdf","",""
"6444f3c7-89cd-4d63-ab83-2c98554c66f9","China_output010_text.txt","Roger","char-offset:1094","PERSON","","","","","","","","","Michele Ruggieri (1543–1607), ganed yn Spinazzola, yn nhalaith Barletta-Andria-Trani, Apulia, yn ne'r Eidal, addysgwyd hyd at lefel doethurol yn y gyfraith sifil a chanonaidd cyn gweithio yn llys Philip II yn Napoli. Ymunodd â'r Jeswitiaid yn 1572 ac fe'i dewiswyd ar gyfer eu cenhadaeth yn India, lle y cyrhaeddodd ar 13 Medi 1578. Buan y meistolodd yr iaith Tamil, yna, yn 1579, fe'i galwyd i Macao i sefydlu'r genhdaeth Jeswitaidd i Tsieina. Er ei fod wedi'i anghofio yng nghysgod Matteo Ricci, yr oedd yn Tsieina gyda Ricci o'r foment y caed mynediad i'r ymerodraeth ar 10 Medi 1583 am bum mlynedd wedi hynny yn Zhaoqing, talaith Guangdong. Awgrymir gan Yu Liu, 'The True Pioneer of the Jesuit China Mission: Michele Ruggieri', History of Religions, cyf. 50, rhif 4, 362 –83, ei fod yn credu mewn addasu'r neges Gristnogol i gyd-destun diwylliannol Tsieineaidd, fel Ricci, ond bod ei ddulliau yn bur wahanol.","",""
"a9e3d9ba-9c47-4551-b8cb-9d93726473ca","China_output010_text.txt","Ricci","char-offset:1153","PERSON","","","","","","","","Ricci","","",""
"506c28d0-a25a-4fe6-a34b-063a1a88df4a","China_output010_text.txt","China","char-offset:1430","PLACE","http://sws.geonames.org/1814991","China","","36.56380228339525","103.83107747167409","","VERIFIED","","","",""
"2a9cda43-e278-4e72-81fc-60244f688b63","China_output010_text.txt","Ricci","char-offset:1437","PERSON","","","","","","","","Ricci","","",""
"7d21cf4d-4dd2-49e1-9814-fe9ea2e81d47","China_output010_text.txt","Confucius","char-offset:1526","PERSON","","","","","","","","Confucius","","",""
"75900fda-76e4-4b25-b979-67d35e35434e","China_output011_text.txt","Ricci","char-offset:197","PERSON","","","","","","","","Ricci","","",""
"71d19e19-8229-461d-89b4-f8f3ca21e39f","China_output011_text.txt","Peking","char-offset:260","PLACE","http://sws.geonames.org/2038349","Beijing","","40.17382196110366","116.40643185387688","","VERIFIED","","","",""
"e0bf8884-2a36-4fb9-87f6-76ff03c69cb6","China_output011_text.txt","Van Lye","char-offset:284","PERSON","","","","","","","","Zhu Yijun (Wanli Emperor)","Wanli Emperor; personal name Zhu Yijun; ruled 1572–1620; Ming dynasty; https://en.wikipedia.org/wiki/Wanli_Emperor
","",""
"f17056e6-1d54-45f3-93ea-1187fd7e1387","China_output011_text.txt","Ricci","char-offset:392","PERSON","","","","","","","","Ricci","","",""
"c2da86b0-18f2-4d31-90fe-98264eae5098","China_output011_text.txt","Father Schaal","char-offset:888","PERSON","","","","","","","","Schaal|Adam","Adam Schaal (1592-1666); https://jesuitonlinelibrary.bc.edu/?a=d&d=wlet19370201-01.2.3&e=-------en-20--1--txt-txIN-------
","",""
"d4286072-47ef-4533-909f-4b99cd24875f","China_output011_text.txt","Verbiest","char-offset:948","PERSON","","","","","","","","Ferdinand|Verbiest","Ferdinand Verbiest (1623–1688); https://en.wikipedia.org/wiki/Ferdinand_Verbiest
","",""
"928d2bce-4a08-4c44-9257-bf3676762a66","China_output011_text.txt","Verbiest","char-offset:1319","PERSON","","","","","","","","Verbiest","","",""
"0d86e1ca-7376-458a-8087-b764275f85c2","China_output011_text.txt","Cam-hi","char-offset:1592","PERSON","","","","","","","","Kangxi Emperor","","",""
"fc8833a4-b593-41b6-a1ee-c6f903a8a26f","China_output012_text.txt","Helena Taming","char-offset:81","PERSON","","","","","","","","Xiaozheng|Empress Dowager (Helena)","Empress Dowager Xiaozheng (c. 1594?–1651), converted to Roman Catholicism as Helena; https://en.wikipedia.org/wiki/Empress_Dowager_Wang_(Southern_Ming)
","",""
"8fa0f912-3e93-41f1-91de-dee85e417086","China_output012_text.txt","pope Alexander VIIth","char-offset:150","PERSON","","","","","","","","Alexander VII","Pope Alexander VII (1599–1667)
","",""
"fe76b510-c996-47f4-91d1-eb2da0cc122f","China_output013_text.txt","Kam-hi","char-offset:52","PERSON","","","","","","","","Kangxi Emperor","Kangxi Emperor (Xuanye; 1654–1722); 3rd Qing Emperor; https://en.wikipedia.org/wiki/Kangxi_Emperor
","",""
"bd4b2a7d-233f-4b30-af10-c64e4e692eb4","China_output013_text.txt","Africa","char-offset:792","PLACE","http://sws.geonames.org/6255146","Africa","","6.42577000602419","18.274639053061836","","VERIFIED","","","",""
"74160a8f-0e72-4e36-8af6-717d5ca4136f","China_output013_text.txt","Arabia","char-offset:806","PLACE","http://pleiades.stoa.org/places/912809","Arabia","-0750/0640","29.5","45.5","region","VERIFIED","","","",""
